seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
22,1,0,250906_170726,3,3구 볼,B,커브,121,51454,이승현,74540,강민호,69737,노시환,2,1,2,-0.449135,0.7083,1.4074579412986594,3.349,1.624,R,,
23,1,0,250906_170750,4,4구 볼,B,직구,143,51454,이승현,74540,강민호,69737,노시환,3,1,2,-1.11342,0.7083,1.7836736552221324,3.349,1.624,R,,
24,1,0,250906_170811,5,5구 볼,B,직구,143,51454,이승현,74540,강민호,69737,노시환,4,1,2,-1.25348,0.7083,1.424091588819746,3.349,1.624,R,노시환 : 볼넷,13
29,1,0,250906_170910,1,1구 스트라이크,T,커브,119,51454,이승현,74540,강민호,79192,채은성,0,1,2,0.504142,0.7083,2.8112684825492176,3.426,1.662,R,,
30,1,0,250906_170929,2,2구 헛스윙,S,체인지업,134,51454,이승현,74540,강민호,79192,채은성,0,2,2,0.767073,0.7083,2.7740155081992732,3.426,1.662,R,,
31,1,0,250906_170954,3,3구 볼,B,직구,145,51454,이승현,74540,강민호,79192,채은성,1,2,2,1.80373,0.7083,2.7878753017690627,3.426,1.662,R,,
32,1,0,250906_171020,4,4구 헛스윙,S,커브,121,51454,이승현,74540,강민호,79192,채은성,1,3,2,0.237988,0.7083,0.5155495408924846,3.426,1.662,R,채은성 : 포수 스트라이크 낫 아웃 (포수->1루수 1루 터치아웃),13
36,1,1,250906_171253,1,1구 볼,B,직구,150,52701,문동주,78288,최재훈,50458,김지찬,1,0,0,-1.20977,0.7083,3.9467621627369622,2.994,1.452,L,,
37,1,1,250906_171307,2,2구 스트라이크,T,직구,151,52701,문동주,78288,최재훈,50458,김지찬,1,1,0,-0.157275,0.7083,2.497089932870929,2.994,1.452,L,,
38,1,1,250906_171323,3,3구 스트라이크,T,포크,139,52701,문동주,78288,최재훈,50458,김지찬,1,2,0,0.441116,0.7083,2.5862923527128503,2.994,1.452,L,,
39,1,1,250906_171357,4,4구 스트라이크,T,포크,142,52701,문동주,78288,최재훈,50458,김지찬,1,3,0,-0.322985,0.7083,1.8597895906864554,2.994,1.452,L,김지찬 : 삼진 아웃,13
42,1,1,250906_171424,1,1구 스트라이크,T,커브,127,52701,문동주,78288,최재훈,67449,김성윤,0,1,1,-0.662899,0.7083,2.151708915379565,2.996,1.453,L,,
43,1,1,250906_171437,2,2구 볼,B,직구,155,52701,문동주,78288,최재훈,67449,김성윤,1,1,1,-1.04219,0.7083,4.0625608966771365,2.996,1.453,L,,
44,1,1,250906_171454,3,3구 볼,B,포크,141,52701,문동주,78288,최재훈,67449,김성윤,2,1,1,-1.06485,0.7083,2.139238407637239,2.996,1.453,L,,
45,1,1,250906_171512,4,4구 헛스윙,S,직구,154,52701,문동주,78288,최재훈,67449,김성윤,2,2,1,-0.709886,0.7083,2.9610472434551696,2.996,1.453,L,,
46,1,1,250906_171532,5,5구 파울,F,직구,156,52701,문동주,78288,최재훈,67449,김성윤,2,2,1,0.037127,0.7083,1.6706259808142527,2.996,1.453,L,,
47,1,1,250906_171554,6,6구 헛스윙,S,커브,134,52701,문동주,78288,최재훈,67449,김성윤,2,3,1,0.531975,0.7083,0.2744507431251031,2.996,1.453,L,김성윤 : 삼진 아웃,13
50,1,1,250906_171629,1,1구 볼,B,직구,156,52701,문동주,78288,최재훈,62404,구자욱,1,0,2,-1.47116,0.7083,3.496962488490801,3.548,1.721,L,,
51,1,1,250906_171643,2,2구 파울,F,직구,155,52701,문동주,78288,최재훈,62404,구자욱,1,1,2,0.410289,0.7083,2.805674553255545,3.548,1.721,L,,
52,1,1,250906_171706,3,3구 파울,F,직구,159,52701,문동주,78288,최재훈,62404,구자욱,1,2,2,0.178424,0.7083,2.5980868011150813,3.548,1.721,L,,
53,1,1,250906_171744,4,4구 헛스윙,S,커브,137,52701,문동주,78288,최재훈,62404,구자욱,1,3,2,0.554888,0.7083,0.3779398365809721,3.548,1.721,L,구자욱 : 포수 스트라이크 낫 아웃 (포수 태그아웃),13
57,2,0,250906_172006,1,1구 파울,F,체인지업,133,51454,이승현,74540,강민호,66657,이진영,0,1,0,0.108133,0.7083,1.8785294003707174,3.373,1.636,R,,
58,2,0,250906_172027,2,2구 볼,B,커브,121,51454,이승현,74540,강민호,66657,이진영,1,1,0,-1.82544,0.7083,1.4202770031888683,3.373,1.636,R,,
59,2,0,250906_172042,3,3구 파울,F,체인지업,132,51454,이승현,74540,강민호,66657,이진영,1,2,0,0.940526,0.7083,2.8453214458028286,3.373,1.636,R,,
60,2,0,250906_172104,4,4구 타격,H,체인지업,129,51454,이승현,74540,강민호,66657,이진영,1,2,0,1.15907,0.7083,1.2489873588100093,3.373,1.636,R,이진영 : 우익수 오른쪽 앞 1루타,13
63,2,0,250906_172152,1,1구 볼,B,슬라이더,135,51454,이승현,74540,강민호,65703,이도윤,1,0,0,-0.152461,0.7083,3.376664339414395,3.181,1.543,L,,
64,2,0,250906_172216,2,2구 볼,B,직구,141,51454,이승현,74540,강민호,65703,이도윤,2,0,0,-0.778271,0.7083,3.388330142790503,3.181,1.543,L,,
65,2,0,250906_172239,3,3구 타격,H,슬라이더,133,51454,이승현,74540,강민호,65703,이도윤,2,0,0,-0.580186,0.7083,1.4726461440958345,3.181,1.543,L,이도윤 : 투수 앞 땅볼로 출루,13
69,2,0,250906_172344,1,1구 볼,B,슬라이더,134,51454,이승현,74540,강민호,78288,최재훈,1,0,0,1.15259,0.7083,4.085148747375655,3.241,1.572,R,,
70,2,0,250906_172412,2,2구 볼,B,슬라이더,136,51454,이승현,74540,강민호,78288,최재훈,2,0,0,-0.938637,0.7083,2.0803866275224063,3.241,1.572,R,,
71,2,0,250906_172436,3,3구 파울,F,직구,142,51454,이승현,74540,강민호,78288,최재훈,2,1,0,0.129191,0.7083,3.0455026043404168,3.241,1.572,R,,
72,2,0,250906_172509,4,4구 볼,B,체인지업,134,51454,이승현,74540,강민호,78288,최재훈,3,1,0,1.1033,0.7083,3.8095044888496856,3.241,1.572,R,,
73,2,0,250906_172531,5,5구 볼,B,직구,143,51454,이승현,74540,강민호,78288,최재훈,4,1,0,0.152803,0.7083,3.529250029967095,3.241,1.572,R,최재훈 : 볼넷,13
78,2,0,250906_172654,1,1구 스트라이크,T,커브,118,51454,이승현,74540,강민호,68700,이원석,0,1,0,0.373432,0.7083,2.9116338512257087,3.254,1.578,R,,
79,2,0,250906_172712,2,2구 파울,F,커브,118,51454,이승현,74540,강민호,68700,이원석,0,2,0,-0.120093,0.7083,1.692892571536075,3.254,1.578,R,,
80,2,0,250906_172739,3,3구 파울,F,직구,144,51454,이승현,74540,강민호,68700,이원석,0,2,0,1.30842,0.7083,2.6543042561399375,3.254,1.578,R,,
81,2,0,250906_172807,4,4구 볼,B,직구,145,51454,이승현,74540,강민호,68700,이원석,1,2,0,1.33841,0.7083,2.593837190630059,3.254,1.578,R,,
82,2,0,250906_172831,5,5구 타격,H,체인지업,133,51454,이승현,74540,강민호,68700,이원석,1,2,0,1.15782,0.7083,2.9596918633575138,3.254,1.578,R,이원석 : 중견수 왼쪽 앞 1루타,23
88,2,0,250906_172918,1,1구 볼,B,직구,143,51454,이승현,74540,강민호,77532,손아섭,1,0,0,0.745027,0.7083,4.775666870393145,3.21,1.557,L,,
89,2,0,250906_172936,2,2구 파울,F,슬라이더,134,51454,이승현,74540,강민호,77532,손아섭,1,1,0,0.798533,0.7083,2.667911626948079,3.21,1.557,L,,
90,2,0,250906_173001,3,3구 타격,H,직구,144,51454,이승현,74540,강민호,77532,손아섭,1,1,0,0.236025,0.7083,2.341206050153251,3.21,1.557,L,손아섭 : 좌중간 2루타,23
96,2,0,250906_173058,1,1구 타격,H,커브,118,51454,이승현,74540,강민호,62700,하주석,0,0,0,0.414615,0.7083,2.7380871387688535,3.365,1.632,L,하주석 : 우익수 앞 1루타,23
101,2,0,250906_173157,1,1구 볼,B,직구,142,51454,이승현,74540,강민호,53764,문현빈,1,0,0,1.11878,0.7083,4.847785115598091,3.17,1.537,L,,
102,2,0,250906_173215,2,2구 볼,B,직구,141,51454,이승현,74540,강민호,53764,문현빈,2,0,0,-0.507942,0.7083,3.669465015292298,3.17,1.537,L,,
103,2,0,250906_173236,3,3구 볼,B,직구,140,51454,이승현,74540,강민호,53764,문현빈,3,0,0,0.241177,0.7083,3.8133925457206326,3.17,1.537,L,,
104,2,0,250906_173258,4,4구 타격,H,직구,141,51454,이승현,74540,강민호,53764,문현빈,3,0,0,-0.144104,0.7083,2.394058032226156,3.17,1.537,L,문현빈 : 1루수 병살타 아웃 (1루수->유격수->1루수 송구아웃),13
108,2,0,250906_173343,1,1구 볼,B,커브,119,51454,이승현,74540,강민호,69737,노시환,1,0,2,-1.01677,0.7083,1.0153094579202895,3.349,1.624,R,,
109,2,0,250906_173414,2,2구 볼,B,직구,142,51454,이승현,74540,강민호,69737,노시환,2,0,2,-0.244347,0.7083,3.9672648096305525,3.349,1.624,R,,
110,2,0,250906_173433,3,3구 볼,B,커브,117,51454,이승현,74540,강민호,69737,노시환,3,0,2,0.969734,0.7083,2.4513096566401407,3.349,1.624,R,,
111,2,0,250906_173452,4,4구 볼,B,직구,142,51454,이승현,74540,강민호,69737,노시환,4,0,2,0.198975,0.7083,4.103003640341642,3.349,1.624,R,노시환 : 볼넷,13
115,2,0,250906_173757,1,1구 파울,F,슬라이더,138,68415,양창섭,74540,강민호,79192,채은성,0,1,2,1.43409,0.7083,2.6708785359193814,3.426,1.662,R,,
116,2,0,250906_173824,2,2구 파울,F,투심,147,68415,양창섭,74540,강민호,79192,채은성,0,2,2,0.404953,0.7083,2.40159637525002,3.426,1.662,R,,
118,2,0,250906_173917,3,3구 파울,F,직구,149,68415,양창섭,74540,강민호,79192,채은성,0,2,2,1.38149,0.7083,2.874822421869087,3.426,1.662,R,,
119,2,0,250906_173948,4,4구 스트라이크,T,커브,120,68415,양창섭,74540,강민호,79192,채은성,0,3,2,0.125255,0.7083,3.4876440872439076,3.426,1.662,R,채은성 : 삼진 아웃,13
123,2,1,250906_174150,1,1구 볼,B,커브,122,52701,문동주,78288,최재훈,54400,디아즈,1,0,0,2.02993,0.7083,1.914361309438692,3.545,1.719,L,,
124,2,1,250906_174204,2,2구 스트라이크,T,직구,155,52701,문동주,78288,최재훈,54400,디아즈,1,1,0,0.760405,0.7083,2.015468247299881,3.545,1.719,L,,
125,2,1,250906_174218,3,3구 타격,H,직구,153,52701,문동주,78288,최재훈,54400,디아즈,1,1,0,-0.099391,0.7083,2.737770692624311,3.545,1.719,L,디아즈 : 좌중간 뒤 홈런 (홈런거리:120M),23
128,2,1,250906_174335,1,1구 스트라이크,T,커브,123,52701,문동주,78288,최재훈,74540,강민호,0,1,0,-0.145513,0.7083,2.1645250778347043,3.422,1.66,R,,
129,2,1,250906_174349,2,2구 타격,H,직구,154,52701,문동주,78288,최재훈,74540,강민호,0,1,0,0.470773,0.7083,2.2230451856342137,3.422,1.66,R,강민호 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
132,2,1,250906_174430,1,1구 타격,H,슬라이더,138,52701,문동주,78288,최재훈,52430,김영웅,0,0,1,-0.349563,0.7083,1.6920070656312078,3.349,1.624,L,김영웅 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
135,2,1,250906_174502,1,1구 스트라이크,T,직구,154,52701,문동주,78288,최재훈,62234,류지혁,0,1,2,-0.352197,0.7083,2.707956671958116,3.331,1.615,L,,
136,2,1,250906_174517,2,2구 볼,B,커브,130,52701,문동주,78288,최재훈,62234,류지혁,1,1,2,-1.11037,0.7083,2.47678128780671,3.331,1.615,L,,
137,2,1,250906_174532,3,3구 헛스윙,S,포크,142,52701,문동주,78288,최재훈,62234,류지혁,1,2,2,0.13045,0.7083,1.8763106992535197,3.331,1.615,L,,
138,2,1,250906_174610,4,4구 헛스윙,S,포크,146,52701,문동주,78288,최재훈,62234,류지혁,1,3,2,-0.238673,0.7083,0.6582990796464974,3.331,1.615,L,류지혁 : 포수 스트라이크 낫 아웃 (포수 태그아웃),13
142,3,0,250906_174829,1,1구 파울,F,투심,145,68415,양창섭,74540,강민호,66657,이진영,0,1,0,-0.318485,0.7083,3.3491930427121526,3.373,1.636,R,,
143,3,0,250906_174851,2,2구 볼,B,커브,117,68415,양창섭,74540,강민호,66657,이진영,1,1,0,-0.209924,0.7083,4.205388905609414,3.373,1.636,R,,
144,3,0,250906_174910,3,3구 볼,B,커브,118,68415,양창섭,74540,강민호,66657,이진영,2,1,0,-0.403327,0.7083,3.6937820600700766,3.373,1.636,R,,
145,3,0,250906_174927,4,4구 타격,H,슬라이더,136,68415,양창섭,74540,강민호,66657,이진영,2,1,0,0.825733,0.7083,1.8332949409904074,3.373,1.636,R,이진영 : 우익수 파울플라이 아웃,13
148,3,0,250906_175008,1,1구 스트라이크,T,슬라이더,136,68415,양창섭,74540,강민호,65703,이도윤,0,1,1,-0.02871,0.7083,2.0291923877164186,3.181,1.543,L,,
149,3,0,250906_175023,2,2구 볼,B,체인지업,134,68415,양창섭,74540,강민호,65703,이도윤,1,1,1,-0.847118,0.7083,1.1306305692279865,3.181,1.543,L,,
150,3,0,250906_175041,3,3구 볼,B,슬라이더,138,68415,양창섭,74540,강민호,65703,이도윤,2,1,1,1.91876,0.7083,0.19316815476415794,3.181,1.543,L,,
151,3,0,250906_175104,4,4구 타격,H,슬라이더,139,68415,양창섭,74540,강민호,65703,이도윤,2,1,1,0.267522,0.7083,2.9088981587100555,3.181,1.543,L,이도윤 : 유격수 왼쪽 앞 내야안타,13
154,3,0,250906_175153,1,1구 스트라이크,T,투심,147,68415,양창섭,74540,강민호,78288,최재훈,0,1,1,0.188163,0.7083,1.5799351266901402,3.241,1.572,R,,
155,3,0,250906_175214,2,2구 볼,B,슬라이더,140,68415,양창섭,74540,강민호,78288,최재훈,1,1,1,1.97961,0.7083,1.169558038583813,3.241,1.572,R,,
156,3,0,250906_175240,3,3구 타격,H,슬라이더,139,68415,양창섭,74540,강민호,78288,최재훈,1,1,1,0.3848,0.7083,1.8510748522542309,3.241,1.572,R,최재훈 : 2루수 병살타 아웃 (2루수->유격수->1루수 송구아웃),13
161,3,1,250906_175453,1,1구 볼,B,커브,122,52701,문동주,78288,최재훈,52415,이재현,1,0,0,0.133688,0.7083,3.912963991585138,3.287,1.594,R,,
162,3,1,250906_175507,2,2구 타격,H,슬라이더,139,52701,문동주,78288,최재훈,52415,이재현,1,0,0,0.550113,0.7083,2.2647073280962875,3.287,1.594,R,이재현 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),13
165,3,1,250906_175544,1,1구 스트라이크,T,슬라이더,137,52701,문동주,78288,최재훈,68463,윤정빈,0,1,1,-0.656508,0.7083,2.021830878680153,3.294,1.598,L,,
166,3,1,250906_175557,2,2구 타격,H,직구,155,52701,문동주,78288,최재훈,68463,윤정빈,0,1,1,-0.625637,0.7083,2.709726870804144,3.294,1.598,L,윤정빈 : 좌익수 플라이 아웃,13
169,3,1,250906_175634,1,1구 볼,B,커브,125,52701,문동주,78288,최재훈,50458,김지찬,1,0,2,0.916678,0.7083,2.33084826147413,2.994,1.452,L,,
170,3,1,250906_175647,2,2구 볼,B,직구,154,52701,문동주,78288,최재훈,50458,김지찬,2,0,2,-0.967945,0.7083,3.268473038702248,2.994,1.452,L,,
171,3,1,250906_175701,3,3구 타격,H,직구,151,52701,문동주,78288,최재훈,50458,김지찬,2,0,2,0.522537,0.7083,1.3561803141394633,2.994,1.452,L,김지찬 : 우익수 뒤 2루타,13
175,3,1,250906_175810,1,1구 파울,F,커브,127,52701,문동주,78288,최재훈,67449,김성윤,0,1,2,0.041302,0.7083,1.8317609669632882,2.996,1.453,L,,
176,3,1,250906_175854,2,2구 볼,B,포크,142,52701,문동주,78288,최재훈,67449,김성윤,1,1,2,-1.09784,0.7083,0.7310089517207454,2.996,1.453,L,,
177,3,1,250906_175920,3,3구 볼,B,슬라이더,138,52701,문동주,78288,최재훈,67449,김성윤,2,1,2,-1.6363,0.7083,3.524360868638148,2.996,1.453,L,,
178,3,1,250906_175946,4,4구 파울,F,직구,155,52701,문동주,78288,최재훈,67449,김성윤,2,2,2,-0.686967,0.7083,2.7872877951138397,2.996,1.453,L,,
179,3,1,250906_180012,5,5구 타격,H,포크,140,52701,문동주,78288,최재훈,67449,김성윤,2,2,2,-0.548045,0.7083,1.3360582664513032,2.996,1.453,L,김성윤 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),13
183,4,0,250906_180220,1,1구 볼,B,슬라이더,138,68415,양창섭,74540,강민호,68700,이원석,1,0,0,1.02235,0.7083,1.7670654510779507,3.254,1.578,R,,
184,4,0,250906_180243,2,2구 타격,H,투심,145,68415,양창섭,74540,강민호,68700,이원석,1,0,0,-0.031809,0.7083,2.2995219038720904,3.254,1.578,R,이원석 : 우익수 앞 1루타,13
187,4,0,250906_180326,1,1구 스트라이크,T,투심,145,68415,양창섭,74540,강민호,77532,손아섭,0,1,0,-0.624633,0.7083,3.2393796288266627,3.21,1.557,L,,
189,4,0,250906_180408,2,2구 타격,H,슬라이더,138,68415,양창섭,74540,강민호,77532,손아섭,0,1,0,0.519574,0.7083,3.5719461134275865,3.21,1.557,L,손아섭 : 유격수 병살타 아웃 (유격수->1루수 송구아웃),13
193,4,0,250906_180448,1,1구 헛스윙,S,투심,149,68415,양창섭,74540,강민호,62700,하주석,0,1,2,-1.35784,0.7083,2.2913571197918166,3.365,1.632,L,,
194,4,0,250906_180508,2,2구 타격,H,투심,148,68415,양창섭,74540,강민호,62700,하주석,0,1,2,-0.668278,0.7083,2.942379919259931,3.365,1.632,L,하주석 : 투수 맞고 2루수 땅볼 아웃 (투수->2루수->1루수 송구아웃),13
198,4,1,250906_180741,1,1구 스트라이크,T,직구,156,52701,문동주,78288,최재훈,62404,구자욱,0,1,0,0.671792,0.7083,2.999335347025095,3.548,1.721,L,,
199,4,1,250906_180757,2,2구 볼,B,포크,141,52701,문동주,78288,최재훈,62404,구자욱,1,1,0,0.254891,0.7083,0.7703630940541766,3.548,1.721,L,,
200,4,1,250906_180816,3,3구 타격,H,커브,128,52701,문동주,78288,최재훈,62404,구자욱,1,1,0,0.171191,0.7083,3.0926971290669965,3.548,1.721,L,구자욱 : 중견수 앞 1루타,13
203,4,1,250906_180858,1,1구 볼,B,직구,153,52701,문동주,78288,최재훈,54400,디아즈,1,0,0,0.710066,0.7083,3.846841287933133,3.545,1.719,L,,
204,4,1,250906_180914,2,2구 파울,F,직구,153,52701,문동주,78288,최재훈,54400,디아즈,1,1,0,-0.045483,0.7083,3.7995695994280503,3.545,1.719,L,,
205,4,1,250906_180939,3,3구 볼,B,커브,130,52701,문동주,78288,최재훈,54400,디아즈,2,1,0,0.418345,0.7083,1.534503082179095,3.545,1.719,L,,
207,4,1,250906_181005,4,4구 볼,B,커브,131,52701,문동주,78288,최재훈,54400,디아즈,3,1,0,0.048027,0.7083,1.6696504967576487,3.545,1.719,L,,
208,4,1,250906_181030,5,5구 헛스윙,S,슬라이더,142,52701,문동주,78288,최재훈,54400,디아즈,3,2,0,0.70716,0.7083,2.0628202426498508,3.545,1.719,L,,
210,4,1,250906_181104,6,6구 파울,F,직구,154,52701,문동주,78288,최재훈,54400,디아즈,3,2,0,0.173826,0.7083,3.3930059877657364,3.545,1.719,L,,
212,4,1,250906_181210,7,7구 헛스윙,S,포크,141,52701,문동주,78288,최재훈,54400,디아즈,3,3,0,-0.585315,0.7083,1.3176211458630847,3.545,1.719,L,디아즈 : 삼진 아웃,13
215,4,1,250906_181302,1,1구 볼,B,슬라이더,139,52701,문동주,78288,최재훈,74540,강민호,1,0,1,0.748879,0.7083,0.5008716857775779,3.422,1.66,R,,
216,4,1,250906_181328,2,2구 스트라이크,T,슬라이더,139,52701,문동주,78288,최재훈,74540,강민호,1,1,1,0.252293,0.7083,1.8613527086760313,3.422,1.66,R,,
217,4,1,250906_181349,3,3구 볼,B,직구,155,52701,문동주,78288,최재훈,74540,강민호,2,1,1,1.36493,0.7083,2.9128152620886025,3.422,1.66,R,,
218,4,1,250906_181413,4,4구 타격,H,커브,128,52701,문동주,78288,최재훈,74540,강민호,2,1,1,-0.112977,0.7083,2.473044510343285,3.422,1.66,R,강민호 : 유격수 병살타 아웃 (유격수->2루수->1루수 송구아웃),13
224,5,0,250906_181704,1,1구 스트라이크,T,직구,149,53455,이호성,74540,강민호,53764,문현빈,0,1,0,0.237163,0.7083,1.7121962922804872,3.17,1.537,L,,
225,5,0,250906_181718,2,2구 볼,B,커브,123,53455,이호성,74540,강민호,53764,문현빈,1,1,0,-0.046799,0.7083,-0.14141231124100084,3.17,1.537,L,,
226,5,0,250906_181736,3,3구 볼,B,직구,147,53455,이호성,74540,강민호,53764,문현빈,2,1,0,-0.585802,0.7083,4.640617025716906,3.17,1.537,L,,
227,5,0,250906_181753,4,4구 스트라이크,T,직구,147,53455,이호성,74540,강민호,53764,문현빈,2,2,0,0.448172,0.7083,1.6514189510859163,3.17,1.537,L,,
228,5,0,250906_181811,5,5구 볼,B,직구,149,53455,이호성,74540,강민호,53764,문현빈,3,2,0,1.20435,0.7083,2.2570096982538743,3.17,1.537,L,,
229,5,0,250906_181830,6,6구 타격,H,커터,136,53455,이호성,74540,강민호,53764,문현빈,3,2,0,-0.476648,0.7083,1.6916443056109776,3.17,1.537,L,문현빈 : 중견수 앞 1루타,13
232,5,0,250906_181912,1,1구 스트라이크,T,직구,149,53455,이호성,74540,강민호,69737,노시환,0,1,0,0.293758,0.7083,1.9740670204748298,3.349,1.624,R,,
233,5,0,250906_181934,2,2구 파울,F,직구,147,53455,이호성,74540,강민호,69737,노시환,0,2,0,-0.449803,0.7083,2.812189306947187,3.349,1.624,R,,
234,5,0,250906_182003,3,3구 볼,B,직구,148,53455,이호성,74540,강민호,69737,노시환,1,2,0,1.26771,0.7083,2.5022227342119745,3.349,1.624,R,,
235,5,0,250906_182025,4,4구 파울,F,직구,148,53455,이호성,74540,강민호,69737,노시환,1,2,0,-0.492038,0.7083,2.4381438991820517,3.349,1.624,R,,
236,5,0,250906_182054,5,5구 타격,H,커브,127,53455,이호성,74540,강민호,69737,노시환,1,2,0,-0.008735,0.7083,1.3810412450541358,3.349,1.624,R,노시환 : 유격수 병살타 아웃 (유격수->2루수->1루수 송구아웃),13
240,5,0,250906_182139,1,1구 볼,B,직구,149,53455,이호성,74540,강민호,79192,채은성,1,0,2,1.30967,0.7083,2.3931024552224884,3.426,1.662,R,,
241,5,0,250906_182157,2,2구 스트라이크,T,커터,137,53455,이호성,74540,강민호,79192,채은성,1,1,2,-0.231021,0.7083,1.7598928950358697,3.426,1.662,R,,
242,5,0,250906_182215,3,3구 볼,B,커브,127,53455,이호성,74540,강민호,79192,채은성,2,1,2,0.517164,0.7083,0.9801832769781713,3.426,1.662,R,,
243,5,0,250906_182238,4,4구 헛스윙,S,커터,135,53455,이호성,74540,강민호,79192,채은성,2,2,2,0.241075,0.7083,0.8686244611131175,3.426,1.662,R,,
244,5,0,250906_182257,5,5구 헛스윙,S,커터,138,53455,이호성,74540,강민호,79192,채은성,2,3,2,0.03185,0.7083,0.9511081118687263,3.426,1.662,R,채은성 : 삼진 아웃,13
248,5,1,250906_182514,1,1구 볼,B,커브,122,52701,문동주,78288,최재훈,52430,김영웅,1,0,0,0.567546,0.7083,1.048543382474291,3.349,1.624,L,,
249,5,1,250906_182528,2,2구 스트라이크,T,커브,123,52701,문동주,78288,최재훈,52430,김영웅,1,1,0,0.877933,0.7083,1.9243692210858487,3.349,1.624,L,,
250,5,1,250906_182542,3,3구 볼,B,포크,139,52701,문동주,78288,최재훈,52430,김영웅,2,1,0,0.465911,0.7083,0.15716598461289877,3.349,1.624,L,,
251,5,1,250906_182600,4,4구 타격,H,직구,153,52701,문동주,78288,최재훈,52430,김영웅,2,1,0,0.602091,0.7083,3.3614013055717136,3.349,1.624,L,김영웅 : 우익수 플라이 아웃,13
254,5,1,250906_182632,1,1구 스트라이크,T,커브,126,52701,문동주,78288,최재훈,62234,류지혁,0,1,1,-0.391688,0.7083,2.8204282378809546,3.331,1.615,L,,
255,5,1,250906_182645,2,2구 파울,F,직구,154,52701,문동주,78288,최재훈,62234,류지혁,0,2,1,-0.592183,0.7083,2.347914260180019,3.331,1.615,L,,
256,5,1,250906_182704,3,3구 파울,F,직구,154,52701,문동주,78288,최재훈,62234,류지혁,0,2,1,0.063873,0.7083,3.569451261154461,3.331,1.615,L,,
257,5,1,250906_182724,4,4구 볼,B,직구,157,52701,문동주,78288,최재훈,62234,류지혁,1,2,1,-1.46428,0.7083,3.8418762309084435,3.331,1.615,L,,
258,5,1,250906_182808,5,5구 헛스윙,S,포크,143,52701,문동주,78288,최재훈,62234,류지혁,1,3,1,0.502401,0.7083,0.7116627945486949,3.331,1.615,L,류지혁 : 포수 스트라이크 낫 아웃 (포수 태그아웃),13
262,5,1,250906_182931,1,1구 볼,B,커브,124,52701,문동주,78288,최재훈,52415,이재현,1,0,2,0.595581,0.7083,1.331183853351411,3.287,1.594,R,,
263,5,1,250906_182945,2,2구 스트라이크,T,직구,154,52701,문동주,78288,최재훈,52415,이재현,1,1,2,0.73297,0.7083,2.851164818810008,3.287,1.594,R,,
264,5,1,250906_183000,3,3구 볼,B,포크,141,52701,문동주,78288,최재훈,52415,이재현,2,1,2,0.836214,0.7083,-1.855375730478695,3.287,1.594,R,,
265,5,1,250906_183021,4,4구 헛스윙,S,직구,153,52701,문동주,78288,최재훈,52415,이재현,2,2,2,1.0474,0.7083,2.36112488184296,3.287,1.594,R,,
266,5,1,250906_183039,5,5구 볼,B,직구,154,52701,문동주,78288,최재훈,52415,이재현,3,2,2,0.92663,0.7083,4.243419892623331,3.287,1.594,R,,
267,5,1,250906_183102,6,6구 타격,H,슬라이더,139,52701,문동주,78288,최재훈,52415,이재현,3,2,2,-0.732342,0.7083,3.1640282918708516,3.287,1.594,R,이재현 : 포수 파울플라이 아웃,13
271,6,0,250906_183511,1,1구 스트라이크,T,커터,133,53455,이호성,74540,강민호,66657,이진영,0,1,0,0.619399,0.7083,3.148516300951863,3.373,1.636,R,,
272,6,0,250906_183524,2,2구 볼,B,커브,123,53455,이호성,74540,강민호,66657,이진영,1,1,0,1.60988,0.7083,3.4662610780933374,3.373,1.636,R,,
273,6,0,250906_183538,3,3구 헛스윙,S,커터,134,53455,이호성,74540,강민호,66657,이진영,1,2,0,0.903908,0.7083,1.5568489977894577,3.373,1.636,R,,
274,6,0,250906_183556,4,4구 타격,H,커터,135,53455,이호성,74540,강민호,66657,이진영,1,2,0,0.857903,0.7083,2.4166670378589585,3.373,1.636,R,이진영 : 우익수 플라이 아웃,13
277,6,0,250906_183635,1,1구 파울,F,직구,145,53455,이호성,74540,강민호,65703,이도윤,0,1,1,0.822113,0.7083,3.509938522301046,3.181,1.543,L,,
278,6,0,250906_183706,2,2구 볼,B,체인지업,130,53455,이호성,74540,강민호,65703,이도윤,1,1,1,-1.14129,0.7083,2.4535659961277148,3.181,1.543,L,,
279,6,0,250906_183721,3,3구 스트라이크,T,커터,135,53455,이호성,74540,강민호,65703,이도윤,1,2,1,0.071894,0.7083,3.2152199130307286,3.181,1.543,L,,
280,6,0,250906_183737,4,4구 헛스윙,S,커브,128,53455,이호성,74540,강민호,65703,이도윤,1,3,1,0.348931,0.7083,0.22584571033060552,3.181,1.543,L,이도윤 : 포수 스트라이크 낫 아웃 (포수->1루수 1루 터치아웃),13
283,6,0,250906_183811,1,1구 볼,B,직구,149,53455,이호성,74540,강민호,78288,최재훈,1,0,2,1.40842,0.7083,2.86576959656892,3.241,1.572,R,,
