seqno,inning,half,pitch_id,pitch_num,event_text,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,catcher_code,catcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance,plate_result_text,plate_result_type
2,1,0,250806_185019,1,1구 헛스윙,S,직구,153,55730,폰세,78288,최재훈,55013,스티븐슨,0,1,0,0.122813,0.7083,2.8600023065439677,3.355,1.627,L,,
3,1,0,250806_185034,2,2구 타격,H,직구,154,55730,폰세,78288,최재훈,55013,스티븐슨,0,1,0,0.616998,0.7083,2.5592602393774446,3.355,1.627,L,스티븐슨 : 좌익수 왼쪽 2루타,13
7,1,0,250806_185125,1,1구 스트라이크,T,직구,156,55730,폰세,78288,최재훈,79240,허경민,0,1,1,0.69315,0.7083,2.6238380242772767,3.267,1.584,R,,
8,1,0,250806_185139,2,2구 볼,B,체인지업,141,55730,폰세,78288,최재훈,79240,허경민,1,1,1,-0.82556,0.7083,3.7099009150727813,3.267,1.584,R,,
9,1,0,250806_185152,3,3구 볼,B,커터,145,55730,폰세,78288,최재훈,79240,허경민,2,1,1,2.22846,0.7083,2.7142627260674086,3.267,1.584,R,,
10,1,0,250806_185210,4,4구 스트라이크,T,커브,129,55730,폰세,78288,최재훈,79240,허경민,2,2,1,0.351133,0.7083,1.7673358111588202,3.267,1.584,R,,
11,1,0,250806_185228,5,5구 타격,H,직구,155,55730,폰세,78288,최재훈,79240,허경민,2,2,1,0.664997,0.7083,1.9237646393230177,3.267,1.584,R,허경민 : 2루수 라인드라이브 아웃,13
14,1,0,250806_185304,1,1구 스트라이크,T,커브,131,55730,폰세,78288,최재훈,52001,안현민,0,1,2,0.779967,0.7083,2.6180934443597064,3.322,1.611,R,,
15,1,0,250806_185319,2,2구 볼,B,직구,154,55730,폰세,78288,최재훈,52001,안현민,1,1,2,-1.19192,0.7083,4.654923607734709,3.322,1.611,R,,
16,1,0,250806_185331,3,3구 파울,F,직구,156,55730,폰세,78288,최재훈,52001,안현민,1,2,2,0.245033,0.7083,2.7806983302815236,3.322,1.611,R,,
17,1,0,250806_185410,4,4구 볼,B,커터,149,55730,폰세,78288,최재훈,52001,안현민,2,2,2,1.60316,0.7083,3.0231069965319843,3.322,1.611,R,,
18,1,0,250806_185426,5,5구 헛스윙,S,직구,156,55730,폰세,78288,최재훈,52001,안현민,2,3,2,-0.586911,0.7083,3.3322543008947836,3.322,1.611,R,안현민 : 삼진 아웃,13
22,1,1,250806_185641,1,1구 스트라이크,T,직구,145,65516,배제성,78548,장성우,66704,김태연,0,1,0,0.517222,0.7083,2.28116370587695,3.259,1.581,R,,
23,1,1,250806_185655,2,2구 볼,B,슬라이더,134,65516,배제성,78548,장성우,66704,김태연,1,1,0,1.09121,0.7083,-0.804015244567958,3.259,1.581,R,,
24,1,1,250806_185715,3,3구 볼,B,슬라이더,132,65516,배제성,78548,장성우,66704,김태연,2,1,0,0.686402,0.7083,0.5406643530753503,3.259,1.581,R,,
25,1,1,250806_185737,4,4구 헛스윙,S,슬라이더,131,65516,배제성,78548,장성우,66704,김태연,2,2,0,-0.151973,0.7083,1.7750136412331994,3.259,1.581,R,,
26,1,1,250806_185807,5,5구 볼,B,슬라이더,132,65516,배제성,78548,장성우,66704,김태연,3,2,0,0.491472,0.7083,3.5922786465779475,3.259,1.581,R,,
27,1,1,250806_185826,6,6구 타격,H,슬라이더,134,65516,배제성,78548,장성우,66704,김태연,3,2,0,-0.061359,0.7083,2.1640612684225258,3.259,1.581,R,김태연 : 3루수 파울플라이 아웃,13
